ce_1,ce_2
0.49188542,1.287844
0.3436489,15.060152
4.653782,9.001823
1.9765892,12.078953
-0.65304184,17.291971
-0.5572281,16.802412
-0.9932356,17.978195
3.3761063,10.491909
-0.058109283,16.038883
-0.35894775,16.034357
2.8710518,10.48107
0.16278458,15.572739
0.22198105,15.59898
0.20520782,15.366828
0.47501373,14.994505
0.8785362,14.205065
2.26087,11.697344
5.078356,8.349238
3.298627,10.89949
0.27219963,15.540216
2.7427979,10.718109
2.1916714,11.665604
0.71478087,0.6794129
4.118046,9.700733
1.4716873,12.805666
-0.8880844,16.974157
0.8257141,14.073911
0.3192196,15.063752
-0.9472356,17.6028
-0.06251907,15.972153
4.9762754,8.46254
-0.1215744,15.869629
1.7099342,12.510876
1.8869128,12.329561
0.85459137,14.020058
-0.09867859,15.982849
0.87496233,0.7704239
-0.52802277,16.460659
-0.61210346,16.975283
-0.38911057,16.642397
1.5741138,12.656485
0.29063797,15.188665
1.5261383,12.460984
0.13890171,0.82142735
3.5728643,10.022227
-0.2786064,15.741177
4.1030693,9.591629
6.2780914,6.698841
-0.40468597,16.112783
0.40249157,14.884922
1.0989742,13.49029
-0.44171143,16.549877
2.9132462,11.657986
4.482332,9.568769
-0.46216202,16.477383
4.708276,8.632756
0.6013584,14.186844
1.8494339,12.213455
1.8916149,12.305174
0.09377289,15.381504
0.121520996,15.4623375
1.8608475,11.873602
0.6923008,14.510013
0.54716873,14.747503
0.02155304,15.436539
0.5247345,14.354609
-0.27285767,15.819077
2.047329,11.5732765
1.4887104,13.054012
-0.23176193,16.351723
-0.3298378,16.023842
0.8966217,14.192566
0.6531563,14.817312
-0.22914886,15.781163
0.48134327,14.68417
-0.28156853,15.965754
5.895561,7.583103
-0.48173523,17.593801
0.8985424,13.490381
3.2688227,10.651166
1.9704056,12.219437
6.4034348,6.965782
-0.9949293,17.988499
0.187603,15.144659
1.8706951,12.315723
-1.1116982,17.91362
6.675991,4.1166954
-0.22688675,15.846778
-0.23587418,16.00897
-0.45339584,16.90393
0.782259,14.239761
-1.1722565,17.972506
1.6151047,12.888374
0.33774185,15.146042
1.5309696,12.944915
-0.30496597,15.944878
3.4668884,10.301392
0.20275497,15.225849
-1.041359,17.816471
0.21120834,15.227812
-0.9813881,17.141735
1.9415817,11.944632
1.4903431,12.998578
-0.57386756,16.660398
0.5833969,14.617306
4.698992,8.715124
-0.22738075,15.401321
0.7186527,14.492096
2.15493,11.711115
0.93885803,14.249256
0.28943634,15.371416
0.66067505,14.769981
-0.4657116,16.655895
2.7267609,10.990166
-0.014198303,15.597477
-0.50761414,16.652967
3.0921516,10.426149
1.1485901,14.16717
0.8669777,14.342907
-0.3645115,16.047127
4.5573254,9.055489
-0.30546188,16.59034
0.16388321,15.897254
1.8837628,12.030392
0.9119797,13.470436
-0.535717,16.460854
3.9033566,10.105467
3.218773,10.112873
1.2432323,1.2161069
0.7110939,14.118994
-1.0890293,17.357265
-0.2249546,16.005806
-0.10369682,15.703068
-0.16656494,16.046665
2.7463262,10.895671
0.30063248,14.937271
-0.507946,16.898321
-0.8304596,17.322018
0.47694397,14.379147
0.7119217,14.845296
1.4863582,12.690596
-0.6710777,16.9027
3.408516,10.278953
2.2662392,12.237392
2.4488697,11.243387
6.5742226,6.461216
0.9066181,14.123358
-1.0902939,17.928541
1.7471199,12.555647
1.1689849,1.0896077
0.57460403,14.8857
0.031539917,15.779726
0.2395668,15.614777
1.4974451,13.116663
0.43759918,14.728317
-0.016405106,15.745648
0.28288078,14.947462
1.20961,13.380722
0.94233704,13.974548
3.5541801,10.349831
-0.3468938,16.123955
1.4688377,12.822194
1.4043694,12.874483
2.320026,11.348595
-0.44672394,16.846928
1.5979424,12.935949
-0.6107788,16.417145
0.5538502,14.752269
1.8452768,12.125715
4.613451,8.611458
